tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
234.00;49217108#3_0;11.69;8.17;95.00;0.00;542429228_0;5.10;0.00;tripinfo_19 emissions_19 fcd_19;139.00;19;0;873.26;1.12;0.00;38.51;DEFAULT_VEHTYPE;;2;21.00;264432.477098;7322.299981;39.445707;109.612502;4.697117;0;113.670819
240.00;40668087#5_0;84.58;7.25;115.00;0.00;337277973#0_0;1.31;0.00;tripinfo_23 emissions_23 fcd_23;125.00;23;0;621.31;0.93;0.00;50.37;DEFAULT_VEHTYPE;;2;33.00;248484.788131;8393.308160;43.949317;104.352595;4.625713;0;106.816405
242.00;492443336#1_0;100.99;7.38;50.00;0.00;492471759#3_0;5.10;0.00;tripinfo_10 emissions_10 fcd_10;192.00;10;0;750.26;0.94;0.00;97.38;DEFAULT_VEHTYPE;;4;72.00;363996.190215;14035.275555;72.361838;156.686385;7.357649;0;156.472001
243.00;337277957#1_0;0.20;9.13;220.00;0.00;337277970#1_0;5.10;0.00;tripinfo_44 emissions_44 fcd_44;23.00;44;0;191.23;1.18;0.00;3.41;DEFAULT_VEHTYPE;;0;0.00;52431.572636;1040.613370;5.939997;20.979456;0.819011;0;22.538430
255.00;554582106#7_0;20.54;6.83;130.00;0.00;40668087#4_0;5.10;0.00;tripinfo_26 emissions_26 fcd_26;125.00;26;0;532.72;0.94;0.00;61.89;DEFAULT_VEHTYPE;;2;48.00;256664.965699;9784.716470;50.517233;110.262137;5.173744;0;110.333184
275.00;45429543#6_0;0.20;6.43;35.00;0.00;49217116#2_0;5.10;0.00;tripinfo_7 emissions_7 fcd_7;240.00;7;0;1062.77;0.83;0.00;98.98;DEFAULT_VEHTYPE;;3;68.00;450816.930270;16679.568959;86.382917;192.398043;8.829143;0;193.793674
275.00;42143912#3_0;44.91;6.66;185.00;0.00;49217119#0_0;0.20;0.00;tripinfo_37 emissions_37 fcd_37;90.00;37;0;640.78;0.87;0.00;11.62;DEFAULT_VEHTYPE;;0;0.00;169579.913340;3673.514376;20.605814;68.285780;2.677079;0;72.896445
283.00;337277951#4_1;36.12;7.94;165.00;0.00;351440624#5_0;5.10;0.00;tripinfo_33 emissions_33 fcd_33;118.00;33;0;815.53;1.01;0.00;25.28;DEFAULT_VEHTYPE;;2;3.00;237606.984893;5062.078665;28.533062;97.134148;3.984884;0;102.138467
284.00;42141326#7_0;0.20;4.86;120.00;0.00;49217110#3_0;0.20;0.00;tripinfo_24 emissions_24 fcd_24;164.00;24;0;769.30;0.88;0.00;68.88;DEFAULT_VEHTYPE;;2;49.00;294068.028714;10761.688475;55.783381;124.256403;5.595703;0;126.411844
288.00;337277984#8_0;158.41;9.46;125.00;0.00;42141326#8_0;5.10;0.00;tripinfo_25 emissions_25 fcd_25;163.00;25;0;825.89;0.94;0.00;79.49;DEFAULT_VEHTYPE;;3;57.00;336192.382078;11709.134876;61.152371;143.645641;6.705014;0;144.519020
312.00;45429543#4_0;75.60;8.77;240.00;0.00;604749601#1_0;5.10;0.00;tripinfo_48 emissions_48 fcd_48;72.00;48;0;518.04;1.17;0.00;18.17;DEFAULT_VEHTYPE;;1;4.00;136872.795006;2903.714911;16.376303;55.725537;2.267988;0;58.836596
365.00;49217104#1_1;20.12;8.60;85.00;0.00;42141326#9_0;5.10;0.00;tripinfo_17 emissions_17 fcd_17;280.00;17;0;815.50;1.05;0.00;202.73;DEFAULT_VEHTYPE;;7;162.00;635217.875568;27818.382706;141.547773;279.137195;13.922313;0;273.064107
366.00;542429228_0;102.32;4.99;245.00;0.00;567060339#2_0;0.20;0.00;tripinfo_49 emissions_49 fcd_49;121.00;49;0;547.74;0.99;0.00;47.68;DEFAULT_VEHTYPE;;2;33.00;210687.402288;7546.892979;39.231929;89.411682;4.044858;0;90.568571
381.00;42141326#15_0;77.72;10.63;310.00;0.00;1053072563_0;5.10;0.00;tripinfo_62 emissions_62 fcd_62;71.00;62;0;294.00;1.04;0.00;41.44;DEFAULT_VEHTYPE;;1;32.00;155783.818781;6375.809027;32.679216;67.968588;3.336878;0;66.967261
386.00;45429543#4_0;75.60;7.99;305.00;0.00;492471758#0_0;5.10;0.00;tripinfo_61 emissions_61 fcd_61;81.00;61;0;400.32;1.04;0.00;28.15;DEFAULT_VEHTYPE;;1;20.00;142673.735128;4672.117260;24.560754;59.797982;2.620620;0;61.331218
389.00;567060339#2_0;0.20;7.31;80.00;0.00;45429543#3_0;5.10;0.00;tripinfo_16 emissions_16 fcd_16;309.00;16;0;955.89;1.03;0.00;199.07;DEFAULT_VEHTYPE;;6;166.00;632426.592589;28250.363382;143.369763;276.556524;13.574916;0;271.865065
402.00;42143918#10_1;7.92;11.08;230.00;0.00;492471759#0_0;0.20;0.00;tripinfo_46 emissions_46 fcd_46;172.00;46;0;880.73;1.01;0.00;78.43;DEFAULT_VEHTYPE;;3;54.00;355884.743289;12028.500172;63.051423;151.363777;6.974458;0;152.984040
410.00;554582106#11_0;237.48;9.16;205.00;0.00;49217108#1_0;0.10;0.00;tripinfo_41 emissions_41 fcd_41;205.00;41;0;1022.98;1.13;0.00;100.67;DEFAULT_VEHTYPE;;4;66.00;431764.566694;14708.725918;77.037293;184.447611;8.571324;0;185.602392
412.00;42143912#1_0;39.80;8.37;145.00;0.00;337277984#2_0;5.10;0.00;tripinfo_29 emissions_29 fcd_29;267.00;29;0;1012.01;1.16;0.00;179.70;DEFAULT_VEHTYPE;;5;144.00;640348.320974;25710.039644;132.074699;278.569054;13.666813;0;275.268168
413.00;42143918#4_0;41.27;9.90;190.00;0.00;554582106#4_0;5.10;0.00;tripinfo_38 emissions_38 fcd_38;223.00;38;0;793.93;0.92;0.00;136.34;DEFAULT_VEHTYPE;;4;107.00;488435.218455;20351.377568;104.048068;211.949004;10.246003;0;209.965736
416.00;42143918#12_0;103.20;11.82;265.00;0.00;337277973#2_0;0.20;0.00;tripinfo_53 emissions_53 fcd_53;151.00;53;0;905.14;1.10;0.00;69.97;DEFAULT_VEHTYPE;;2;49.00;337162.577607;10985.757992;57.896341;142.951204;6.639484;0;144.935619
417.00;351440624#6_0;94.39;9.93;195.00;0.00;40668087#4_0;5.10;0.00;tripinfo_39 emissions_39 fcd_39;222.00;39;0;639.30;0.95;0.00;143.43;DEFAULT_VEHTYPE;;5;120.00;458393.651704;21020.837497;106.391417;200.978178;9.907526;0;197.052819
417.00;337277984#3_0;29.42;11.42;280.00;0.00;42201285#0_0;5.10;0.00;tripinfo_56 emissions_56 fcd_56;137.00;56;0;744.02;1.03;0.00;61.27;DEFAULT_VEHTYPE;;3;39.00;300504.556174;8827.649691;47.205906;127.102895;5.774310;0;129.176815
418.00;42141326#13_1;91.65;7.90;180.00;0.00;553352498#2_0;5.10;0.00;tripinfo_36 emissions_36 fcd_36;238.00;36;0;854.75;0.83;0.00;129.47;DEFAULT_VEHTYPE;;4;102.00;455465.816340;19035.144077;97.275373;197.923192;9.536481;0;195.793074
424.00;49217116#1_0;33.50;8.75;227.00;2.00;337277973#2_0;0.20;0.00;tripinfo_45 emissions_45 fcd_45;197.00;45;0;815.71;1.15;0.00;124.94;DEFAULT_VEHTYPE;;5;92.00;430703.473191;15777.157655;81.937683;186.409464;8.998687;0;185.146570
426.00;554582106#6_0;1.23;8.95;315.00;0.00;337277951#2_0;5.10;0.00;tripinfo_63 emissions_63 fcd_63;111.00;63;0;580.62;1.09;0.00;55.38;DEFAULT_VEHTYPE;;1;45.00;253796.600456;8930.073372;46.586026;108.417143;5.098667;0;109.099594
432.00;45429543#5_0;21.13;8.69;300.00;0.00;492471412#1_0;5.10;0.00;tripinfo_60 emissions_60 fcd_60;132.00;60;0;822.09;1.09;0.00;43.01;DEFAULT_VEHTYPE;;2;25.00;268853.994745;7205.706665;39.022743;111.176986;4.756796;0;115.571323
443.00;492443337#3_0;247.77;7.92;250.00;0.00;337277951#0_0;0.20;0.00;tripinfo_50 emissions_50 fcd_50;193.00;50;0;1228.27;1.02;0.00;54.16;DEFAULT_VEHTYPE;;1;35.00;368289.429825;10889.760640;58.063978;152.238587;6.512199;0;158.316166
451.00;542428844#0_0;0.20;6.78;320.00;0.00;553352498#2_0;5.10;0.00;tripinfo_64 emissions_64 fcd_64;131.00;64;0;650.83;1.00;0.00;52.38;DEFAULT_VEHTYPE;;1;37.00;249884.536022;8831.297391;45.975092;105.350009;4.711144;0;107.418357
453.00;554582106#9_0;0.20;7.22;175.00;0.00;351440624#2_0;5.10;0.00;tripinfo_35 emissions_35 fcd_35;278.00;35;0;1221.49;0.89;0.00;138.51;DEFAULT_VEHTYPE;;4;110.00;538806.794662;20942.550403;107.828118;229.582986;10.630844;0;231.618906
459.00;45429543#5_0;21.13;7.43;255.00;0.00;49217123_0;5.10;0.00;tripinfo_51 emissions_51 fcd_51;204.00;51;0;962.66;0.97;0.00;90.87;DEFAULT_VEHTYPE;;3;68.00;387400.093073;14194.199550;73.589661;164.237846;7.486026;0;166.532619
512.00;49217117_1;109.03;7.35;150.00;0.00;604749601#0_0;5.10;0.00;tripinfo_30 emissions_30 fcd_30;362.00;30;0;1447.64;1.02;0.00;209.70;DEFAULT_VEHTYPE;;6;165.00;783461.947451;31692.473314;162.556800;338.501858;16.239028;0;336.789645
512.00;49217117_0;109.03;7.45;290.00;0.00;42141326#10_0;5.10;0.00;tripinfo_58 emissions_58 fcd_58;222.00;58;0;693.10;0.96;0.00;153.09;DEFAULT_VEHTYPE;;5;125.00;494811.771749;21126.865304;107.766275;216.311879;10.648865;0;212.706893
513.00;337277957#3_0;107.35;7.15;325.00;0.00;42141326#12_0;5.10;0.00;tripinfo_65 emissions_65 fcd_65;188.00;65;0;755.97;0.90;0.00;89.32;DEFAULT_VEHTYPE;;3;67.00;350975.334896;14009.332132;71.904453;150.340027;6.979039;0;150.875274
513.00;337277981#0_1;0.20;6.41;420.00;0.00;351440624#3_0;5.10;0.00;tripinfo_84 emissions_84 fcd_84;93.00;84;0;648.87;1.14;0.00;32.29;DEFAULT_VEHTYPE;;1;18.00;219282.466260;5706.839679;31.092964;91.569990;4.047924;0;94.261802
514.00;49217117_1;109.03;9.05;260.00;0.00;40668087#4_0;5.10;0.00;tripinfo_52 emissions_52 fcd_52;254.00;52;0;872.00;1.18;0.00;175.22;DEFAULT_VEHTYPE;;5;138.00;588499.553451;24813.813500;126.770980;257.542221;12.737407;0;252.980509
520.00;337277984#5_0;109.49;9.93;435.00;0.00;492471759#3_0;5.10;0.00;tripinfo_87 emissions_87 fcd_87;85.00;87;0;431.47;0.97;0.00;41.08;DEFAULT_VEHTYPE;;1;30.00;191592.779965;6459.059018;33.870416;81.380834;3.753264;0;82.359914
523.00;554582107#0_0;109.31;4.46;270.00;0.00;42143918#3_0;5.10;0.00;tripinfo_54 emissions_54 fcd_54;253.00;54;0;908.29;0.90;0.00;123.43;DEFAULT_VEHTYPE;;4;96.00;474177.463587;19708.535287;100.718862;204.392194;9.630009;0;203.837066
525.00;42143918#6_0;100.35;11.62;445.00;0.00;42143918#1_0;5.10;0.00;tripinfo_89 emissions_89 fcd_89;80.00;89;0;422.65;1.12;0.00;45.38;DEFAULT_VEHTYPE;;1;36.00;203460.991155;7265.790040;37.844348;86.997514;4.142011;0;87.461852
536.00;337277970#2_1;0.20;8.18;455.00;0.00;567060342#1_0;5.10;0.00;tripinfo_91 emissions_91 fcd_91;81.00;91;0;358.27;1.02;0.00;37.42;DEFAULT_VEHTYPE;;1;26.00;163764.855496;5849.501411;30.427836;69.661098;3.181523;0;70.397828
543.00;554582106#9_0;0.20;6.27;330.00;0.00;553352498#2_0;5.10;0.00;tripinfo_66 emissions_66 fcd_66;213.00;66;0;888.81;0.88;0.00;102.43;DEFAULT_VEHTYPE;;4;79.00;417374.750975;16686.483374;85.649547;179.203327;8.392350;0;179.418576
552.00;554582106#5_0;0.21;6.71;480.00;0.00;40668087#1_0;5.10;0.00;tripinfo_96 emissions_96 fcd_96;72.00;96;0;401.34;0.88;0.00;16.58;DEFAULT_VEHTYPE;;1;7.00;112308.213162;2984.490554;16.155936;45.987482;1.861987;0;48.277670
556.00;40668087#3_0;100.10;7.94;170.00;0.00;42141326#13_0;5.10;0.00;tripinfo_34 emissions_34 fcd_34;386.00;34;0;1280.82;0.98;0.00;231.47;DEFAULT_VEHTYPE;;7;180.00;775184.627292;33141.481395;168.946847;337.382075;16.330531;0;333.232488
560.00;42143918#12_0;103.20;10.81;440.00;0.00;337277970#2_0;0.20;0.00;tripinfo_88 emissions_88 fcd_88;120.00;88;0;1112.23;1.08;0.00;17.73;DEFAULT_VEHTYPE;;1;1.00;234516.898686;3959.637558;23.450824;93.664465;3.740270;0;100.809661
561.00;42143918#9_0;96.11;8.54;335.00;0.00;337277970#0_0;0.20;0.00;tripinfo_67 emissions_67 fcd_67;226.00;67;0;1075.56;0.85;0.00;95.73;DEFAULT_VEHTYPE;;2;74.00;401696.499894;15572.642773;80.197422;171.121786;7.896783;0;172.678781
563.00;337277984#8_0;158.41;12.77;360.00;0.00;42143918#1_0;5.10;0.00;tripinfo_72 emissions_72 fcd_72;203.00;72;0;1262.35;1.17;0.00;99.60;DEFAULT_VEHTYPE;;4;72.00;471164.156552;14087.197633;75.173348;198.497666;9.167579;0;202.537840
577.00;492471412#1_0;9.43;7.99;555.00;0.00;45429543#4_0;5.10;0.00;tripinfo_111 emissions_111 fcd_111;22.00;111;0;154.30;1.01;0.00;3.45;DEFAULT_VEHTYPE;;0;0.00;57203.392341;1288.793204;7.190218;23.604784;0.984035;0;24.589642
597.00;42141326#13_1;91.65;11.23;370.00;0.00;351440624#1_0;5.10;0.00;tripinfo_74 emissions_74 fcd_74;227.00;74;0;1304.87;1.02;0.00;102.16;DEFAULT_VEHTYPE;;2;82.00;508948.152133;17699.508870;92.425197;215.289133;9.930382;0;218.781935
624.00;492443337#3_0;247.77;8.17;542.00;2.00;45429543#6_0;0.20;0.00;tripinfo_108 emissions_108 fcd_108;82.00;108;0;593.04;0.98;0.00;9.24;DEFAULT_VEHTYPE;;0;0.00;136624.795459;3003.300364;16.780998;54.505037;2.068534;0;58.730364
630.00;42201285#2_0;97.71;7.17;215.00;0.00;604749601#1_0;5.10;0.00;tripinfo_43 emissions_43 fcd_43;415.00;43;0;1531.16;0.93;0.00;240.09;DEFAULT_VEHTYPE;;7;198.00;864881.664668;35759.221933;182.897282;372.578988;17.697679;0;371.790807
632.00;42143918#10_0;7.92;10.23;530.00;0.00;42143918#4_0;5.10;0.00;tripinfo_106 emissions_106 fcd_106;102.00;106;0;553.31;0.96;0.00;49.00;DEFAULT_VEHTYPE;;1;39.00;223269.902990;8085.648344;42.003192;94.574252;4.380672;0;95.977446
642.00;42141326#10_0;28.82;10.36;545.00;0.00;337277984#0_0;5.10;0.00;tripinfo_109 emissions_109 fcd_109;97.00;109;0;545.64;1.03;0.00;45.48;DEFAULT_VEHTYPE;;2;31.00;218623.286711;6706.278072;35.642945;92.687024;4.264720;0;93.978973
647.00;49217108#2_0;87.61;8.11;425.00;0.00;554582106#7_0;5.10;0.00;tripinfo_85 emissions_85 fcd_85;222.00;85;0;782.27;1.02;0.00;138.71;DEFAULT_VEHTYPE;;5;107.00;445263.425310;18354.477903;93.950672;193.180606;9.321748;0;191.407143
648.00;49217109#1_0;0.20;4.84;390.00;0.00;42141326#2_0;5.10;0.00;tripinfo_78 emissions_78 fcd_78;258.00;78;0;1113.22;1.00;0.00;139.53;DEFAULT_VEHTYPE;;4;106.00;535688.998497;20255.883570;104.699748;229.921155;10.839094;0;230.277759
650.00;604749601#1_0;101.95;7.48;635.00;0.00;604749601#1_0;5.10;0.00;tripinfo_127 emissions_127 fcd_127;15.00;127;0;96.85;1.02;0.00;3.01;DEFAULT_VEHTYPE;;0;0.00;34434.005741;884.197062;4.817884;14.191698;0.589391;0;14.802014
652.00;337277977#1_0;126.81;6.28;345.00;0.00;492471412#2_0;5.10;0.00;tripinfo_69 emissions_69 fcd_69;307.00;69;0;1059.43;0.85;0.00;164.16;DEFAULT_VEHTYPE;;6;130.00;556752.130538;24398.416901;124.007881;241.738046;11.607115;0;239.334493
655.00;542428844#1_0;40.23;7.93;495.00;0.00;604749601#1_0;5.10;0.00;tripinfo_99 emissions_99 fcd_99;160.00;99;0;821.99;1.04;0.00;64.30;DEFAULT_VEHTYPE;;2;41.00;316790.518156;10524.557559;55.235708;133.125744;5.905763;0;136.178890
667.00;553352498#3_0;101.36;5.90;650.00;0.00;553352498#3_0;5.10;0.00;tripinfo_130 emissions_130 fcd_130;17.00;130;0;96.26;0.83;0.00;2.72;DEFAULT_VEHTYPE;;0;0.00;32551.901374;916.963243;4.928365;13.707167;0.596521;0;13.992966
684.00;492471759#1_0;26.01;8.28;525.00;0.00;40668087#4_0;5.10;0.00;tripinfo_105 emissions_105 fcd_105;159.00;105;0;467.82;1.06;0.00;104.45;DEFAULT_VEHTYPE;;3;85.00;333786.678882;14915.848311;75.717539;146.765815;7.286176;0;143.486727
686.00;554582106#6_0;1.23;7.44;500.00;0.00;567060339#2_0;0.20;0.00;tripinfo_100 emissions_100 fcd_100;186.00;100;0;956.45;1.02;0.00;85.19;DEFAULT_VEHTYPE;;4;67.00;363713.796650;12554.358090;65.599547;153.707074;7.005966;0;156.349943
689.00;337277973#2_0;0.20;8.13;585.00;0.00;351440624#6_0;5.10;0.00;tripinfo_117 emissions_117 fcd_117;104.00;117;0;410.42;1.02;0.00;57.36;DEFAULT_VEHTYPE;;2;45.00;218792.960748;8685.767891;44.645296;94.668385;4.522818;0;94.053183
690.00;40668087#5_0;84.58;6.57;475.00;0.00;42143918#1_0;5.10;0.00;tripinfo_95 emissions_95 fcd_95;215.00;95;0;950.62;0.94;0.00;104.97;DEFAULT_VEHTYPE;;4;75.00;450353.932680;16320.031415;84.759881;192.214870;8.870239;0;193.594307
690.00;337277984#0_1;50.00;11.23;505.00;0.00;542428845#0_0;5.10;0.00;tripinfo_101 emissions_101 fcd_101;185.00;101;0;782.66;1.02;0.00;93.86;DEFAULT_VEHTYPE;;3;72.00;387284.613010;14947.655673;77.045596;165.871001;7.746517;0;166.483226
690.00;542428845#1_0;0.20;7.93;565.00;0.00;42201285#0_0;5.10;0.00;tripinfo_113 emissions_113 fcd_113;125.00;113;0;744.71;1.03;0.00;43.48;DEFAULT_VEHTYPE;;1;28.00;249020.833142;7588.914245;40.309348;103.851894;4.547404;0;107.046282
691.00;554582106#2_0;55.58;7.21;405.00;0.00;351440624#5_0;5.10;0.00;tripinfo_81 emissions_81 fcd_81;286.00;81;0;1187.37;1.00;0.00;148.24;DEFAULT_VEHTYPE;;5;115.00;575164.890410;22854.590902;117.403545;246.513418;11.571008;0;247.248384
694.00;337277957#1_0;0.20;6.81;490.00;0.00;45429543#5_0;5.10;0.00;tripinfo_98 emissions_98 fcd_98;204.00;98;0;785.32;0.91;0.00;99.29;DEFAULT_VEHTYPE;;3;76.00;377951.968897;15757.569710;80.501665;162.898393;7.683173;0;162.472163
696.00;337277957#3_0;107.35;6.82;518.00;3.00;42143912#3_0;5.10;0.00;tripinfo_103 emissions_103 fcd_103;178.00;103;0;646.10;0.97;0.00;97.29;DEFAULT_VEHTYPE;;4;71.00;339220.458008;13460.612547;69.160334;146.122634;6.869602;0;145.821896
701.00;542429228_0;102.32;4.65;485.00;0.00;42143918#2_0;5.10;0.00;tripinfo_97 emissions_97 fcd_97;216.00;97;0;751.06;0.91;0.00;110.62;DEFAULT_VEHTYPE;;4;81.00;398284.181475;16693.997223;85.255774;172.595446;8.221152;0;171.212348
704.00;49217108#3_0;11.69;7.54;550.00;0.00;567060339#2_0;0.20;0.00;tripinfo_110 emissions_110 fcd_110;154.00;110;0;436.37;0.98;0.00;100.28;DEFAULT_VEHTYPE;;3;87.00;332111.995954;15724.917793;79.320643;145.459003;7.168931;0;142.767706
717.00;42143912#3_0;44.91;7.44;615.00;0.00;351440624#7_0;5.10;0.00;tripinfo_123 emissions_123 fcd_123;102.00;123;0;698.05;1.04;0.00;31.86;DEFAULT_VEHTYPE;;2;13.00;227662.595347;5405.717282;29.895753;93.913305;4.014819;0;97.863961
722.00;49217109#0_0;0.20;5.35;560.00;0.00;337277957#2_0;5.10;0.00;tripinfo_112 emissions_112 fcd_112;162.00;112;0;536.17;1.09;0.00;103.81;DEFAULT_VEHTYPE;;4;79.00;338350.721973;14036.628962;71.818932;147.843660;7.217560;0;145.448011
727.00;337277957#5_0;116.08;6.88;410.00;0.00;542429228_0;5.10;0.00;tripinfo_82 emissions_82 fcd_82;317.00;82;0;1325.07;0.90;0.00;132.06;DEFAULT_VEHTYPE;;5;96.00;552504.928185;21412.754597;110.230883;234.964342;10.680769;0;237.507556
730.00;351440624#7_0;57.36;10.96;465.00;0.00;542429228_0;5.10;0.00;tripinfo_93 emissions_93 fcd_93;265.00;93;0;1148.92;0.99;0.00;122.57;DEFAULT_VEHTYPE;;5;81.00;530252.632360;18847.557662;98.118455;226.175440;10.384509;0;227.940229
734.00;49217119#1_0;35.72;8.15;375.00;0.00;604749601#1_0;5.10;0.00;tripinfo_75 emissions_75 fcd_75;359.00;75;0;1204.17;1.10;0.00;230.60;DEFAULT_VEHTYPE;;6;189.00;799790.939536;34851.803645;177.355900;349.297032;17.148028;0;343.810309
736.00;337277973#2_1;0.20;7.13;685.00;0.00;337277981#2_0;5.10;0.00;tripinfo_137 emissions_137 fcd_137;51.00;137;0;326.13;0.91;0.00;6.57;DEFAULT_VEHTYPE;;0;0.00;95978.352699;2395.952409;13.112277;39.447083;1.614792;0;41.257823
753.00;337277981#4_0;0.20;7.27;655.00;0.00;42141326#8_0;5.10;0.00;tripinfo_131 emissions_131 fcd_131;98.00;131;0;543.10;0.92;0.00;36.82;DEFAULT_VEHTYPE;;1;27.00;198426.769423;6575.310400;34.517310;82.990135;3.665003;0;85.297866
781.00;554582106#7_0;20.54;7.93;605.00;0.00;45429543#0_0;5.10;0.00;tripinfo_121 emissions_121 fcd_121;176.00;121;0;655.81;0.98;0.00;96.99;DEFAULT_VEHTYPE;;3;80.00;360530.565538;15300.392192;78.038136;155.980490;7.462195;0;154.983189
792.00;42141326#11_1;100.60;11.08;620.00;0.00;49217119#2_0;0.20;0.00;tripinfo_124 emissions_124 fcd_124;172.00;124;0;876.63;1.01;0.00;86.06;DEFAULT_VEHTYPE;;3;66.00;375353.437408;13303.050104;69.349791;161.273103;7.649360;0;161.353147
795.00;42141326#11_1;100.60;10.88;675.00;0.00;492471759#5_0;5.10;0.00;tripinfo_135 emissions_135 fcd_135;120.00;135;0;473.39;1.06;0.00;70.63;DEFAULT_VEHTYPE;;2;55.00;267618.822317;10717.980370;55.052981;116.049076;5.614044;0;115.042086
796.00;554582106#7_0;20.54;6.32;645.00;0.00;40668087#4_0;5.10;0.00;tripinfo_129 emissions_129 fcd_129;151.00;129;0;532.72;0.89;0.00;85.40;DEFAULT_VEHTYPE;;3;63.00;292575.605089;12232.680304;62.508608;127.094185;6.119867;0;125.770764
825.00;49217109#0_0;0.20;5.87;600.00;0.00;42143918#0_0;5.10;0.00;tripinfo_120 emissions_120 fcd_120;225.00;120;0;967.24;1.15;0.00;130.66;DEFAULT_VEHTYPE;;4;103.00;486330.673063;19142.683414;98.496473;209.377843;10.001807;0;209.060431
828.00;45429543#6_0;0.20;6.53;750.00;0.00;554582106#2_0;5.10;0.00;tripinfo_150 emissions_150 fcd_150;78.00;150;0;273.55;0.89;0.00;40.33;DEFAULT_VEHTYPE;;1;32.00;157771.288859;6469.138234;33.119886;68.294323;3.246448;0;67.821801
